nome_cientifico,nomes_populares,familia,habito,parte_comestivel,uso_culinario,url;;;;;;;;;;;;;
Cichorium intybus,Chicória-amarga; almeirão-verdadeiro.,Asteraceae,Herbácea;" Subarbustiva.,Parte comestível – método de preparo:,""👨‍🍳Receitas: Café de almeirão (Tua saúde), Almeirão refogado (Tua saúde), Salada de almeirão com iogurte (Tua saúde), Suco de almeirão (Tua saúde)."",https://hortodidatico.ufsc.br/almeirao/";;;;;;;;;;;
Cyclospermum leptophyllum,Gertrudes; aipo-silvestre; mastruço; salsa-do-brejo.,Malvaceae,Herbácea,Parte comestível – método de preparo:,Receitas: Pão com aipo-chimarrão (Matos de Comer),https://hortodidatico.ufsc.br/aipo-chimarrao/;;;;;;;;;;
Tagetes minuta,Cravo-do-mato; cravo-de-defunto.,Asteraceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Salsa de tagetes com papas (Matos de Comer),https://hortodidatico.ufsc.br/andorinha-tagetes/;;;;;;;;;;;;
Eugenia stipitata,Arazá; Guayaba-brasileira; Arazá buey.,Myrtaceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""👨‍🍳Receitas: Pudim de araçá-boi (Só Araçá), Creme de araçá-boi (Só Araçá), Doce de araçá-boi (Só Araçá)"",https://hortodidatico.ufsc.br/araca-boi/";;;;;;;;;;
Psidium cattleyanum,Araçá-de-coroa,Myrtaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/araca/;;;;;;;;;;;;
Maranta arundinacea,Raruta; maranta.,Marantaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/araruta-2/;;;;;;;;;;;;
Annona sylvatica,Cortiça;" biribá.,Annonaceae,Arbórea,Parte comestível – método de preparo,""👨‍🍳Receitas: Bolo (Infoteca), Doce pastoso (Infoteca), Doce em tablete (Infoteca), Geléia (Infoteca), Pudim (Infoteca) e Sorvete caseiro (Infoteca)."",https://hortodidatico.ufsc.br/araticum/";;;;;;;;;;;;
Araucaria angustifolia,Pinheiro; pinheiro-do-paraná; pinheiro-brasileiro; pinho; curi;" cuiúva.,Araucariaceae,Arbórea,Parte comestível – método de preparo,""👨‍🍳Receitas: Pinhão cozido (Receitas de mãe), Bolo de pinhão (Receitas de mãe)"",https://hortodidatico.ufsc.br/araucaria/";;;;;;;;
Schinus terebinthifolia,Pimenta-rosa; aroeira-pimenteira; aroeira-mansa; aroeira vermelha; aguaraíba.,Anacardiaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,👨‍🍳Receitas:,https://hortodidatico.ufsc.br/aroeira-panc/;;;;;;;;
Aloe vera,Erva-babosa; babosa-medicinal.,Asparagaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Salada de Aloe vera com manga e suco de Aloe vera (Você Bonita),https://hortodidatico.ufsc.br/babosa-2/;;;;;;;;;;;;
Garcinia gardneriana,Achacha,Clusiaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,👨‍🍳Receitas: Pavê de bacupari (Tudo Gostoso),https://hortodidatico.ufsc.br/bacupari/;;;;;;;;;;;;
Posoqueria acutifolia,Fruto-de-macaco,Rubiaceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""👨‍🍳Receitas: Sementes sucedâneas do café após torradas (KINUPP, 2007)"",https://hortodidatico.ufsc.br/baga-de-macaco/";;;;;;;;;;;;
Varronia curassavica,Erva-baleeira,Cordiaceae,Arbustiva,Parte comestível – método de preparo,👨‍🍳Receitas: Coxinha vegetariana funcional (Sabor de Fazenda),https://hortodidatico.ufsc.br/baleeira/;;;;;;;;;;;;;
"Dendrocalamus latiflorus,,Poaceae,Bambu,Parte comestível – método de preparo,""👨‍🍳Receitas: Quiche com broto de bambu, torta de frango com bambu, porco xadrez com bambu (Bambu SC)"",https://hortodidatico.ufsc.br/bambu-chines-grande/";;;;;;;;;;;;;
"Dendrocalamus asper,Bambu-áspero,Poaceae,Bambu,Parte comestível – método de preparo,""👨‍🍳Receitas: Quiche com broto de bambu, torta de frango com bambu, porco xadrez com bambu (Bambu SC)"",https://hortodidatico.ufsc.br/bambu-gigante/";;;;;;;;;;;;;
Phyllostachys aurea,Bambu-de-vara-depesca; bambu-de-jardim;" bambuzinho-amarelo.,Poaceae,Bambu,Parte comestível – método de preparo,""👨‍🍳Receitas: Quiche com broto de bambu, torta de frango com bambu, porco xadrez com bambu (Bambu SC)"",https://hortodidatico.ufsc.br/bambui/";;;;;;;;;;;
Tropaeolum tuberosum,,Tropaeolaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳 Receitas: Sopa de Mashua (Receta Andinas),https://hortodidatico.ufsc.br/batata-colombiana-mashua/;;;;;;;;;;;;;
Arctium lappa,Carrapicho-grande; labaça; orelha-de-gigante; pega-pega;" gobó.,Asteraceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/bardana-2/";;;;;;;;;
Portulaca oleracea,Caaponga; verdolaga; porcelana;" beldroega-da-horta.,Portulacaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/beldroega-2/";;;;;;;;;;
Talinum paniculatum,Major-gomes; maria-gorda; maria gomes; bredo; língua de vaca;" joão gomes.,Talinaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/beldroegao/";;;;;;;;
Annona mucosa,Araticum; fruta-do-conde;" frutada-condessa.,Annonaceae,Arbórea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/biriba/";;;;;;;;;;;
Anredera cordifolia,Bertalha-coração; basela; cipó-babão; folha-santa;" trepadeira-mimosa.,Basellaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/bertalha/";;;;;;;;;
Antirrhinum majus,Bocas-de-lobo,Plantaginaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Utilizar em saladas e para decoração de outros pratos (Sabor de Fazenda).,https://hortodidatico.ufsc.br/boca-de-leao/;;;;;;;;;;;;;
Rotheca myricoides,Flor-borboleta; borboleta-azul.,Lamiaceae,Arbustiva,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/borboleteira/;;;;;;;;;;;;
Fuchsia hybrida,Lágrima; fucsia.,Onagraceae,Arbustiva,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/brinco-de-princesa/;;;;;;;;;;;;
Aechmea nudicaulis,Gravatá-de-pedra; caraguatá-de-pedra.,Bromeliaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/bromelia-chup-chup/;;;;;;;;;;;;
Luffa cylindrica,Bucha-lisa; esponja; bucha-dos-paulista;" quingombô-grande.,Cucurbitaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/bucha/";;;;;;;;;;
"Butia catarinensis,,Arecaceae,Palmeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/butia-da-praia/";;;;;;;;;;;;;
Myrciaria glazioviana,Vassourinha-da-praia; peludinha; guapirijuba.,Myrtaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Licor de cabeludinha (John e Dil Caseiros e Artesanais),https://hortodidatico.ufsc.br/cabeludinha/;;;;;;;;;;;
Rhipsalis teres,Ripsális; cacto-corrente.,Cactaceae,Herbácea;" Subarbustiva.,Parte comestível – método de preparo,""👨‍🍳Receitas: O fruto é utilizado como decoração para confeitaria, polpas, sorvetes e sucos. (Matos de Comer)"",https://hortodidatico.ufsc.br/cacto-macarrao/";;;;;;;;;;;
Brasiliopuntia brasiliensis,Palmatória; jurubeba; ambeba.,Cactaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,👨‍🍳Receitas: O fruto é consumido in natura ou utilizado para geléias e doces (Matos de Comer),https://hortodidatico.ufsc.br/cacto-pe-de-mamao/;;;;;;;;;;
Muntingia calabura,Tamauã,Muntingiaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Fígado de pato com molho de cebola e calabura (Come-se),https://hortodidatico.ufsc.br/calabura/;;;;;;;;;;;;;
Spondias dulcis,Cajarana; taperebá-do-sertão;" ambarella.,Anacardiaceae,Arbórea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/caja-manga/";;;;;;;;;;;
Calendula officinalis,Bem-me-quer; mal-me-quer; maravilha; margarida.,Asteraceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Salada de arroz com calêndula (Receitas Folha),https://hortodidatico.ufsc.br/calendula-2/;;;;;;;;;;
Plinia edulis,Cambucazeiro; cambucá-verdadeiro.,Myrtaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Compota de cambucá (Cozinha Santa),https://hortodidatico.ufsc.br/cambuca/;;;;;;;;;;;;
Campomanesia phaea,Cambucizeiro; ubucambuci; camuci; camoti;" camocim.,Myrtaceae,Arbórea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/cambuci/";;;;;;;;;
Dovyalis hebecarpa,Groselha-do-Ceilão; abricóda-Flórida.,Salicaceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/campari/";;;;;;;;;;;
Canna indica,Ararutão; aquira; cana comestível;" achira.,Cannaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/cana-do-brejo-biri/";;;;;;;;;;
Costus spiralis,Cana-de-macaco; cana-do-mato.,Costaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Molho picante de cana do brejo (Nutrir),https://hortodidatico.ufsc.br/cana-do-brejo/;;;;;;;;;;;;
Elionurus muticus,Capinzinho-cidreira; capim-cidreira-fino; capim-limão-fino; capim-carona.,Poaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/capim-cidreira/;;;;;;;;;;
Dioscorea alata,Cará-roxo; cará-de-asa;" cará-roxo-do-ar.,Dioscoreaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/cara-da-terra/";;;;;;;;;;;
Dioscorea bulbifera,Cará-do-ar;" batata-do-ar.,Dioscoreaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/cara-moela/";;;;;;;;;;;;
Bromelia antiacantha,Gravatá-da-praia; naná-de-raposa; bananinha-do-mato;" gravatá.,Bromeliaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/caraguata/";;;;;;;;;;
Amaranthus viridis,Caruru-de-mancha; caruru-verde.,Amaranthaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Omelete de caruru (Tua Saúde); Torta de PANC (Tua Saúde); Sal de caruru (Nutrir),https://hortodidatico.ufsc.br/caruru/;;;;;;;;;;
Pachira glabra,Cacau-do-Maranhão; castanha-da-praia.,Malvaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Cookies de castanha-do-maranhão (Petit Chef),https://hortodidatico.ufsc.br/castanha-do-maranhao-2/;;;;;;;;;;;;
Eugenia involucrata,Cerejeira; cereja-do-rio-grande.,Myrtaceae,Arbórea; Arbustiva; Subarbustiva.,Parte comestível – método de preparo,👨‍🍳Receitas: Cuscuz de cereja-do-rio-grande (Pág. 762) (Sabores e Aromas); Clafoutis de cereja-do-rio-grande (Pág. 786) (Sabores e Aromas); Torta de cereja-do-rio-grande (Pág. 814) (Sabores e Aromas),https://hortodidatico.ufsc.br/cereja-da-mata-atlantica/;;;;;;;;
Eugenia candolleana,Ameixa-do-Pará; Maria-preta.,Myrtaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,👨‍🍳Receitas: Cereja-de-joinville em calda (Come-se),https://hortodidatico.ufsc.br/cereja-de-joinville/;;;;;;;;;;;
Allophylus edulis,Fruta-de-paraó; vacum; quebra-queixo; chala-chala; fruta-de-pombo.,Sapindaceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/chal-chal/";;;;;;;;
Monstera deliciosa,Abacaxi-do-reino; banana-do-mato; banana-de-índio.,Araceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Compota de costela-de-adão (Come-se); Bolo de costela-de-adão (Chácara Ativa),https://hortodidatico.ufsc.br/costela-de-adao/;;;;;;;;;;
Cnidoscolus aconitifolius,Chayamansa; espinafre-arbóreo; espinafre-selvagem; urtiga-branca.,Euphorbiaceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/chaya-2/";;;;;;;;;
Citrus medica,Lima-vermelha; limão-doce; lima-doce; lima-de-umbigo;" lima-de-bico.,Rutaceae,Arbórea,""🍃Identificação botânica: Arbustos ou pequenas árvores. Ramos, botões de folhas e botões de flores arroxeados quando jovens. Ramos com espinhos de cerca de 4 cm. Folhas simples ou raramente 1-folioladas"; pecíolo curto, não alado; lâmina foliar elíptica a ovado-elíptica, 6-12 × 3-6 cm ou maior, margem serrilhada, ápice arredondado, obtuso ou raramente mucronado. Inflorescências axilares, com cerca de 12 flores ou, por vezes, flores solitárias. Flores bissexuais ou por vezes masculinas por aborto ± completo do pistilo. Pétalas 5, 1,5-2 cm. Estames 30-50. Ovário cilíndrico; estilete longo e espesso; estigma clavado. Fruto amarelo-pálido, elíptico a subgloboso, até 2 kg, superfície grosseira; pericarpo branco a amarelo-pálido e macio por dentro, mais espesso do que o sarcocarpo, removido com dificuldade; sarcocarpo com 10-15 segmentos, incolor, quase pelúcido a amarelo leitoso pálido, ácido a ligeiramente doce, perfumado. Sementes pequenas; revestimento da semente liso; embrião(ões) solitário(s) a vários;" cotilédones branco-leitosos. Fl. abril-maio, fr. Out-Nov. 2n = 18, 20. (World Flora Online)"",""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/cidra/"
Clitoria ternatea,Cunhã; feijão-borboleta; ervilha-borboleta; ismênia;" palheteira.,Fabaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/clitoria/";;;;;;;;;
Eryngium coronatum,Coentro-de-espinho;" língua-de-tucano.,Apiaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/coentrao/";;;;;;;;;;;;
Cosmos sulphureus,Áster-do-méxico; picão-grande.,Asteraceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/cosmos/;;;;;;;;;;;;
Youngia japonica,Barba-de-falcão,Asteraceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/crepe-do-japao/;;;;;;;;;;;;;
Dianthus caryophyllus,Cravo-branco; cravo.,Caryophyllaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Patê de cravínea com queijo branco (Deborah Gaiotto),https://hortodidatico.ufsc.br/cravinea-comum/;;;;;;;;;;;;
Dahlia pinnata,Dalia-de-jardim; adália.,Asteraceae,Herbácea;" Subarbustiva.,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/dalia/";;;;;;;;;;;
Epiphyllum oxypetalum,Cactoorquídea; pitainha.,Cactaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/dama-da-noite/;;;;;;;;;;;;
Taraxacum officinale,Chicória-silvestre; taraxaco;" amargosa.,Asteraceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/dente-de-leao-2/";;;;;;;;;;;
Drymaria cordata,Drimaria; cordão-de-sapo; erva-coração.,Caryophyllaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/erva-de-jabuticaa/;;;;;;;;;;;
Vicia sativa,Ervilhaca-comum; ervilhaca.,Fabaceae,Trepadeira,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/ervilha-forrageira/;;;;;;;;;;;;
Alternanthera sessilis,Orelha-de-macaco;" espinafre-da-amazônia.,Amaranthaceae,Subarbustiva,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/espinafre-amazonico/";;;;;;;;;;;;
Lippia dulcis,Hortelã-doce;" erva-doce-asteca.,Verbenaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/estevia-asteca/";;;;;;;;;;;;
Vigna unguiculata,Feijão-de-metro; feijão-de-praia; feijão-guaí; feijão-fradinho;" feijão-de-corda.,Fabaceae,Trepadeira,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/feijao-caupi/";;;;;;;;;
Cajanus cajan,Ervilha-de-Angola; guando.,Fabaceae,Arbustiva,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/feijao-guandu/;;;;;;;;;;;;
Ficus enormis,,Moraceae,Arbórea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/figueira-da-pedra/;;;;;;;;;;;;;
Vassobia breviflora,Grão-de-galo; esporão-de-galo; baga-de-jacu;" espinho-de-pomba.,Solanaceae,Arbustiva,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/fruta-do-sabia/";;;;;;;;;;
Foeniculum vulgare,Ervadoce; falsa-erva-doce; falso-anis; fiolho;" funcho-italiano.,Apiaceae,Herbácea,Parte comestível – método de preparo,""KINUPP, V. F. et al. Plantas Alimentícias Não Convencionais (PANC) no Brasil: guia de identificação, aspectos nutricionais e receitas ilustradas. São Paulo: Instituto Plantarum de Estudos de Flora, 2014."",https://hortodidatico.ufsc.br/funcho-2/";;;;;;;;;
Eugenia catharinensis,Cabeludinha-de-Santa-Catarina; guamirim-da-folha-miúda.,Myrtaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Geleia de guamirim (Receitas da Margô),https://hortodidatico.ufsc.br/guamirim/;;;;;;;;;;;;
Pelargonium graveolens,Malva; pelargônio.,Geraniaceae,Herbácea,Parte comestível – método de preparo,👨‍🍳Receitas: Geleia de gerânio (Peeters Place),https://hortodidatico.ufsc.br/geranio/;;;;;;;;;;;;
Stachytarpheta cayennensis,Gervão-azul; rincão.,Verbenaceae,Herbácea; Subarbusto.,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/gervao-roxo/;;;;;;;;;;;
Feijoa sellowiana,Goiabeira-domato; feijoa; quirina.,Myrtaceae,Arbustiva; Arbórea.,Parte comestível – método de preparo,👨‍🍳Receitas: Cuca com goiaba-serrana (Pág. 838) (Sabores e Aromas); Goiaba-serrana em calda (Pág. 798) (Sabores e Aromas); Bolo com goiaba-serrana (Pág 824) (Sabores e Aromas),https://hortodidatico.ufsc.br/goiaba-serrana/;;;;;;;;
Eugenia brasiliensis,Cumbixaba; Grumixaba.,Myrtaceae,Arbórea,Parte comestível – método de preparo,👨‍🍳Receitas: Cestinha de queijo com caramelo de grumixama (Pág. 536) (Sabores e Aromas); Filé suíno com molho de grumixama e purê de batata baroa (Pág. 578) (Sabores e Aromas); Granita de grumixama (Pág 658) (Sabores e Aromas); Pudim de tapioca com calda de grumixama (Pág. 666) (Sabores e Aromas),https://hortodidatico.ufsc.br/grumixama-2/;;;;;;;;;
